gender,education,age,political_ideology,household_income,marital_status,religion,race
1,4,46,6,21,4,11,3
2,3,37,4,13,1,12,4
2,2,40,2,17,1,11,1
1,3,41,3,7,1,2,4
1,5,72,5,22,3,12,5
2,3,71,4,3,4,10,1
2,3,37,4,4,1,1,1
2,2,45,99,3,1,12,1
2,2,70,99,10,1,12,1
1,3,43,99,11,5,12,3
2,2,37,99,9,1,1,3
1,2,55,4,18,1,11,1
2,2,30,6,1,6,3,1
1,5,38,3,21,1,8,4
2,3,41,4,3,4,12,2
1,3,66,6,7,1,2,3
1,4,54,3,22,1,2,1
1,4,55,3,20,1,2,1
2,4,62,2,-9,1,2,1
2,2,80,3,5,3,2,1
1,5,31,6,12,6,2,3
2,1,80,4,6,3,2,3
1,4,24,2,21,6,10,1
1,5,55,6,15,1,1,1
2,1,59,99,6,1,2,3
1,4,73,2,5,1,1,1
2,1,72,99,5,3,1,1
1,4,50,5,20,1,2,1
1,5,66,5,22,1,2,1
1,2,41,4,15,1,12,3
2,2,52,99,1,5,12,4
1,3,45,4,13,4,11,5
2,5,46,2,4,6,1,1
1,4,66,6,20,1,1,1
2,5,60,2,20,4,2,1
2,4,73,99,10,1,1,1
2,3,71,99,9,1,11,2
2,5,28,1,3,6,9,1
2,5,73,1,8,1,9,1
1,4,-9,6,-9,1,1,1
2,4,37,6,19,1,1,1
2,3,56,4,4,6,11,2
1,5,48,7,10,4,1,1
2,4,53,7,19,1,1,1
2,3,72,3,22,4,12,1
1,2,55,6,1,1,12,1
1,3,79,2,10,3,2,1
1,4,38,3,21,1,10,1
2,4,42,4,12,6,1,4
1,5,70,6,15,1,2,1
2,3,50,4,-9,-9,11,5
2,5,50,2,-9,6,11,2
2,1,27,4,1,1,11,1
1,2,62,99,1,6,11,1
2,3,51,4,-9,1,2,-9
1,3,60,6,15,1,11,1
2,5,65,3,9,4,2,1
1,5,-9,3,21,6,5,1
1,2,48,4,9,4,12,1
1,2,55,6,13,1,11,1
1,4,54,5,19,1,2,1
2,5,38,4,13,1,12,1
1,5,80,2,10,1,2,1
2,5,37,2,15,1,12,6
1,4,38,2,22,1,2,1
1,3,60,4,11,1,11,1
1,3,46,5,14,4,11,6
2,5,78,1,17,1,9,1
2,5,39,2,16,1,11,1
2,5,33,2,11,6,11,2
2,5,74,2,1,4,11,1
2,3,61,3,10,3,2,1
2,3,67,99,6,4,1,1
2,2,60,99,13,4,1,1
1,3,-9,6,17,1,2,1
1,3,21,99,6,6,11,2
2,1,49,4,1,1,2,2
1,5,80,2,16,1,12,1
1,3,70,4,6,1,5,1
2,2,70,5,-9,3,11,1
1,4,72,5,18,1,1,1
2,3,78,7,10,1,1,1
2,4,43,2,10,4,11,1
2,3,45,99,3,6,12,2
2,4,44,3,21,1,1,1
2,3,50,4,6,6,11,3
2,5,-9,4,-9,1,12,1
2,4,33,3,15,1,2,1
2,2,55,99,14,1,2,1
2,4,28,5,20,1,11,1
2,5,34,5,22,6,1,1
2,4,24,2,20,6,12,1
2,3,26,7,2,4,1,1
1,2,75,3,7,3,12,1
1,4,61,5,13,1,9,5
2,5,80,6,22,3,1,1
1,3,58,3,18,1,10,1
2,4,50,4,12,6,2,3
2,4,76,3,6,3,1,1
2,3,80,4,9,3,1,1
2,2,48,2,1,6,5,6
2,2,61,3,17,1,2,1
2,5,45,2,17,4,12,1
2,3,37,6,7,1,4,1
1,4,36,6,17,1,11,1
2,1,80,2,3,3,2,1
2,2,66,7,4,6,1,1
2,2,80,5,10,1,2,1
1,3,66,6,19,1,1,5
2,3,60,4,17,1,1,1
1,-2,34,6,19,1,2,1
1,5,80,6,22,1,12,4
1,2,71,4,14,1,2,1
1,3,72,6,6,4,1,1
1,4,57,3,8,6,2,1
2,5,36,4,17,1,2,3
2,3,61,4,16,1,12,2
1,5,58,6,1,1,2,5
1,3,30,99,17,6,12,2
1,5,80,6,17,3,1,1
1,5,-9,6,-9,1,-9,-9
1,3,72,99,5,1,2,3
1,1,38,1,1,6,11,3
1,3,60,99,5,1,2,1
2,2,52,5,4,1,11,2
2,2,40,4,8,4,12,1
2,4,23,2,-9,6,2,1
1,2,54,6,19,1,1,1
2,5,70,3,16,3,11,1
2,3,23,99,5,6,9,3
1,5,66,2,21,1,12,2
1,3,60,6,19,1,2,1
2,4,50,6,17,1,2,1
1,4,62,6,20,1,2,1
2,5,37,2,17,1,9,1
2,2,73,6,-9,1,12,1
1,4,52,5,20,1,1,1
2,5,76,7,3,1,1,1
1,3,73,5,2,4,11,1
2,4,42,3,21,4,12,1
1,2,67,4,4,1,2,1
1,3,64,4,15,1,12,1
2,3,55,99,15,1,2,1
2,5,29,2,11,6,12,2
2,3,34,6,8,6,11,2
2,5,45,4,20,4,12,1
1,5,40,1,22,1,3,5
1,3,28,4,3,1,1,1
1,3,49,4,20,1,2,3
1,5,37,2,18,1,11,1
2,3,80,6,19,1,1,1
2,2,55,3,13,4,2,4
2,1,80,3,5,3,1,1
2,4,63,99,17,6,11,6
2,3,66,6,8,1,1,1
1,4,55,5,8,1,12,1
1,3,65,6,18,1,1,1
2,5,69,2,14,4,12,1
2,2,70,7,3,4,1,1
1,2,64,99,13,1,2,1
1,2,62,7,18,1,1,1
1,5,50,6,-9,1,5,1
2,2,46,99,1,6,6,2
2,-2,67,2,15,1,1,6
2,3,43,2,2,6,12,1
1,4,30,2,7,6,11,1
1,2,80,6,13,1,1,1
2,2,58,4,4,3,11,1
1,3,29,4,18,6,12,1
1,3,71,4,3,1,2,1
1,5,69,6,17,1,1,1
1,5,80,2,22,1,5,1
1,5,28,2,20,6,2,1
2,4,22,99,1,6,11,3
2,5,72,2,16,4,10,1
1,4,63,4,16,1,11,1
2,4,64,4,22,1,1,1
2,3,61,1,1,4,1,1
1,2,60,99,2,4,11,3
1,2,48,6,9,1,1,1
2,5,69,6,15,6,1,1
2,5,80,4,-9,3,5,1
2,3,77,6,6,3,1,1
2,4,48,4,15,6,2,2
2,3,47,3,4,5,12,2
1,2,43,99,1,6,11,1
2,2,71,99,14,4,2,3
1,2,31,3,10,6,12,3
